"-2.022,-1.894,2.396,-0.3,-8.154,1.268","-2.432,-1.06,1.428,-0.918,-6.788,1.098","-2.87,1.16,1.15,-2.53,-6.472,0.606","-3.694,3.282,1.064,-4.096,-5.786,0.166","-4.574,4.228,0.528,-4.868,-5.144,-0.03","-5.316,4.376,-0.388,-4.654,-4.65,-0.144","-5.946,4.792,-0.892,-3.72,-4.086,-0.134","-6.552,5.594,-1.044,-3.0,-3.404,-0.118","-7.046,6.192,-1.618,-2.59,-3.102,0.024","-7.416,6.362,-2.842,-1.954,-3.498,0.488","-7.556,6.21,-3.488,-1.424,-3.786,0.584","-7.574,6.03,-4.406,-1.58,-3.54,0.2","-7.39,6.22,-5.308,-2.294,-3.228,0.186","-7.058,7.094,-5.574,-2.982,-2.908,0.448","-6.71,7.564,-5.71,-3.252,-2.618,0.714","-6.526,7.338,-6.606,-2.922,-2.382,0.926","-6.368,6.93,-7.698,-2.338,-2.194,1.004","-5.978,6.956,-9.154,-1.714,-2.026,0.828","-5.376,7.144,-10.39,-1.042,-1.674,0.74","-4.84,7.142,-11.626,-0.122,-1.378,1.09","-4.44,7.228,-13.296,0.686,-1.346,1.332","-3.706,7.854,-14.82,1.098,-1.362,1.306","-2.912,8.364,-16.372,1.162,-1.24,1.152","-2.524,8.76,-19.284,1.022,-1.132,0.994","-3.184,10.53,-21.182,0.708,-1.094,1.054","-3.036,13.358,-22.086,0.416,-1.058,1.056","-0.79,16.86,-23.206,0.236,-0.992,1.03","4.038,19.088,-26.68,0.038,-0.906,0.922","10.316,17.036,-32.082,-0.138,-0.904,0.844","14.928,12.646,-36.784,-0.336,-0.898,0.894","14.104,12.83,-39.206,-0.236,-0.752,0.852","9.958,14.55,-39.206,0.074,-0.778,0.81","8.868,11.748,-39.148,0.458,-0.632,0.89","11.636,4.986,-37.668,0.642,-0.466,0.892","16.676,-4.996,-37.724,0.7,-0.352,0.858","29.678,-9.504,-34.868,0.768,-0.25,0.85","32.042,-13.108,-26.04,0.904,-0.19,0.874","28.884,-21.742,-25.99,1.132,-0.066,0.874","29.752,-26.016,-22.788,1.318,0.062,0.82","27.914,-21.226,-16.88,1.322,0.196,0.752","25.274,-14.004,-12.948,1.12,0.316,0.706","24.622,-6.714,-13.194,0.838,0.378,0.726","30.198,3.812,-17.186,0.692,0.452,0.738","34.514,12.73,-29.15,0.74,0.564,0.712","39.226,23.764,-39.14,0.856,0.696,0.724","39.226,30.4,-30.134,0.94,0.774,0.708","39.226,-32.568,-25.158,0.968,0.818,0.64","39.226,-39.226,-31.264,0.976,0.896,0.522","39.226,12.864,-30.19,0.904,1.034,0.422","39.226,19.484,-26.098,0.816,1.178,0.37","39.226,-5.244,-6.392,0.78,1.346,0.33","39.226,36.264,12.288,0.758,1.53,0.31","38.958,24.022,22.91,0.738,1.656,0.404","35.122,4.356,17.396,0.758,1.696,0.564","39.068,-1.042,-5.066,0.77,1.666,0.688","39.226,-22.084,-12.07,0.708,1.518,0.778","39.226,-37.396,2.59,0.546,1.318,0.842","39.226,-31.288,16.962,0.328,1.216,0.882","39.226,-22.726,24.572,0.112,1.18,0.908","39.226,-14.7,28.528,-0.094,1.202,0.876"
"-6.58,0.198,-5.358,5.386,-3.046,3.606","-6.432,0.84,-5.528,3.53,-2.808,4.106","-6.506,1.806,-5.706,1.638,-2.022,3.718","-6.56,2.06,-5.706,0.642,-1.622,3.632","-6.368,1.908,-5.892,0.344,-1.742,4.25","-5.942,2.474,-6.428,0.036,-1.448,4.43","-5.66,3.184,-7.146,-0.334,-0.944,3.852","-5.566,3.494,-8.044,-0.34,-0.74,3.29","-6.256,3.662,-9.274,0.018,-0.702,2.87","-6.962,4.496,-10.376,0.588,-0.676,2.55","-6.984,5.848,-10.676,1.196,-0.588,2.336","-6.274,6.374,-11.038,1.584,-0.232,2.002","-5.436,5.794,-11.724,1.798,0.1,1.916","-5.218,4.16,-12.568,1.628,0.608,2.142","-5.628,3.064,-14.662,1.088,1.198,2.144","-5.63,3.726,-16.798,0.532,1.364,1.982","-5.236,4.806,-18.458,-0.25,1.262,1.632","-4.37,4.374,-19.75,-1.21,1.178,1.224","-3.048,3.756,-21.058,-1.874,1.14,1.198","-2.008,4.072,-22.086,-2.318,1.228,1.242","-0.638,4.758,-23.098,-2.56,1.354,1.242","0.912,5.474,-24.95,-2.108,1.638,1.262","1.744,4.7,-27.38,-1.162,2.068,1.154","2.41,2.108,-29.152,-0.45,2.34,0.96","5.176,0.198,-31.902,0.044,2.466,0.836","9.742,3.17,-36.366,0.164,2.612,0.646","14.572,9.46,-38.52,0.018,2.77,0.352","15.822,14.2,-39.206,-0.252,2.934,0.15","14.312,14.008,-39.206,-0.466,2.942,-0.002","13.81,9.666,-39.192,-0.55,2.772,-0.248","15.468,2.09,-39.206,-0.468,2.596,-0.574","18.386,-6.324,-38.928,-0.082,2.474,-0.806","21.496,-13.218,-35.418,0.674,2.42,-0.854","25.472,-23.14,-32.124,1.444,2.388,-0.766","29.386,-35.936,-26.826,1.498,2.212,-0.948","32.358,-39.226,-19.346,1.048,2.098,-1.148","36.44,-37.402,-15.334,0.372,2.11,-1.09","39.074,-30.782,-22.95,-0.36,2.096,-1.04","39.226,-24.64,-34.872,-0.784,2.058,-1.084","39.226,15.828,-27.574,-0.982,1.962,-1.148","39.226,-12.07,-30.778,-1.284,1.852,-1.182","39.226,-39.226,-31.18,-1.706,1.784,-1.228","39.226,-5.128,-14.716,-2.218,1.7,-1.17","39.226,1.448,-37.772,-2.588,1.768,-1.038","39.226,-24.722,-37.016,-2.596,1.946,-0.9","39.226,-21.992,-31.924,-2.19,1.986,-0.812","39.226,28.436,-11.226,-1.616,1.81,-0.89","39.226,38.656,24.718,-1.208,1.466,-0.992","39.226,25.934,26.564,-1.124,1.15,-0.986","39.226,31.896,17.542,-1.33,1.036,-0.942","39.146,11.414,7.126,-1.614,1.092,-0.846","39.178,-14.596,3.85,-1.81,1.254,-0.674","39.226,-25.33,10.29,-1.912,1.438,-0.562","39.226,-19.624,12.56,-1.986,1.584,-0.57","39.226,-12.822,12.29,-2.12,1.594,-0.568","39.226,-4.272,17.374,-2.318,1.48,-0.508","39.226,7.586,23.444,-2.442,1.302,-0.5","39.172,15.232,26.114,-2.432,1.136,-0.488","37.488,15.134,26.302,-2.346,1.046,-0.404","33.492,15.704,25.01,-2.18,1.102,-0.318"
"-5.538,-3.504,-3.522,1.27,-4.788,2.308","-5.722,-2.63,-3.684,2.082,-3.896,2.096","-5.72,-1.65,-3.684,2.526,-3.36,2.956","-5.774,-1.076,-3.464,1.916,-3.054,3.792","-5.63,-0.504,-3.19,1.292,-3.17,4.218","-5.444,0.396,-3.396,0.81,-2.928,4.184","-5.43,0.898,-3.746,0.07,-2.734,3.9","-5.754,0.722,-4.556,-0.43,-2.912,3.326","-6.504,0.154,-5.998,-0.176,-2.874,2.928","-6.876,0.332,-5.808,0.26,-2.496,2.842","-6.856,1.29,-5.354,0.616,-2.066,2.802","-6.148,1.566,-5.174,1.192,-1.604,2.748","-5.418,1.138,-5.492,1.96,-1.252,2.524","-4.842,0.696,-6.086,2.64,-1.112,2.078","-3.946,0.972,-6.796,3.126,-1.032,1.802","-3.936,1.472,-7.862,3.346,-0.878,1.684","-3.736,1.284,-8.978,3.206,-0.662,1.652","-3.466,1.076,-10.694,2.726,-0.39,1.718","-3.406,1.188,-13.242,1.796,-0.116,1.834","-3.53,1.17,-16.336,0.69,0.082,1.748","-3.772,0.038,-18.95,-0.414,0.134,1.462","-3.946,-1.238,-20.726,-1.432,0.112,1.226","-3.31,-0.65,-22.16,-2.26,0.02,1.116","-2.458,2.504,-24.124,-2.612,0.006,0.996","-1.72,5.65,-25.36,-2.262,0.168,0.82","-1.062,7.368,-27.116,-1.562,0.344,0.688","0.398,8.418,-29.174,-0.944,0.546,0.588","2.14,9.546,-30.922,-0.574,0.74,0.4","3.754,9.758,-34.8,-0.498,0.79,0.28","5.924,7.448,-39.206,-0.666,0.752,0.22","9.606,5.026,-39.206,-1.148,0.712,0.126","13.354,1.276,-39.13,-1.748,0.816,0.014","16.998,-3.23,-39.192,-2.184,0.94,-0.054","21.854,-6.712,-38.65,-2.264,0.998,-0.074","26.182,-13.32,-34.326,-1.994,1.086,-0.126","29.412,-20.674,-31.494,-1.414,1.22,-0.246","31.316,-26.962,-29.07,-0.698,1.316,-0.368","29.418,-32.454,-23.134,-0.062,1.332,-0.492","28.266,-33.704,-18.992,0.274,1.308,-0.58","30.024,-30.86,-16.104,0.32,1.312,-0.636","30.352,-24.226,-14.928,0.136,1.34,-0.658","32.304,-15.112,-24.372,-0.182,1.378,-0.612","38.262,-1.11,-35.458,-0.464,1.386,-0.578","39.226,15.298,-39.206,-0.746,1.346,-0.548","39.226,20.582,-38.63,-1.052,1.322,-0.524","39.226,-2.176,-17.83,-1.356,1.334,-0.496","39.226,-35.32,-22.87,-1.648,1.368,-0.444","39.226,-34.124,1.252,-1.928,1.43,-0.382","39.226,-15.33,-23.032,-2.18,1.538,-0.29","35.676,-15.366,-30.06,-2.252,1.704,-0.186","29.444,13.38,-21.292,-2.12,1.844,-0.104","39.226,18.738,-6.432,-1.802,1.89,-0.062","39.226,17.692,3.972,-1.416,1.852,-0.06","39.226,24.778,8.666,-1.14,1.74,-0.106","39.226,7.278,8.93,-1.086,1.558,-0.184","39.226,-10.344,11.458,-1.242,1.436,-0.208","39.226,-7.204,22.848,-1.444,1.466,-0.154","39.226,-5.496,25.196,-1.612,1.586,-0.054","39.226,-10.874,22.92,-1.684,1.704,0.038","39.226,-8.066,25.628,-1.698,1.758,0.098"
"-3.274,-12.076,2.328,4.28,-4.988,3.872","-0.864,-10.518,2.384,3.036,-4.926,3.58","1.624,-10.318,1.92,0.366,-3.924,6.142","3.712,-9.936,1.526,1.828,-4.35,4.038","5.564,-9.074,1.592,2.692,-3.596,5.178","6.892,-8.844,1.496,2.636,-0.94,2.52","7.264,-7.944,0.05,1.866,-1.314,3.55","6.256,-6.494,-2.072,0.312,-1.768,3.79","3.968,-4.416,-3.798,-1.152,-1.186,3.248","2.46,-2.168,-5.226,-1.864,-1.254,3.158","2.476,-0.056,-6.402,-2.362,-1.274,2.874","2.846,1.862,-6.81,-2.656,-1.02,2.166","3.016,3.008,-6.924,-2.36,-0.938,1.656","3.118,3.718,-8.128,-1.6,-0.754,1.296","2.14,4.66,-8.99,-0.574,-0.73,0.92","0.388,5.54,-9.682,0.302,-0.56,0.67","-1.228,7.154,-11.14,0.816,-0.226,0.438","-2.124,9.33,-11.624,0.95,0.12,0.418","-3.122,11.102,-12.056,0.776,0.24,0.51","-4.574,12.216,-13.264,0.408,0.268,0.418","-6.08,13.284,-14.35,-0.106,0.262,0.174","-7.634,14.016,-14.532,-0.994,0.242,0.198","-7.912,14.072,-14.578,-1.288,0.498,0.0","-6.328,14.61,-16.324,-1.18,0.226,0.108","-2.254,16.298,-17.678,-1.302,0.416,0.168","2.63,17.36,-19.09,-1.506,0.722,-0.222","7.186,16.582,-22.336,-1.398,0.688,-0.074","12.716,17.028,-25.928,-1.188,0.642,-0.158","16.69,17.018,-28.524,-1.154,0.692,-0.486","20.42,13.256,-28.768,-1.138,0.63,-0.638","21.578,12.268,-26.95,-1.086,0.478,-0.592","22.338,13.078,-25.092,-1.136,0.428,-0.648","21.85,9.55,-24.396,-1.328,0.534,-0.748","21.766,4.466,-25.102,-1.442,0.634,-0.762","21.05,0.73,-23.266,-1.374,0.716,-0.73","20.962,-7.008,-23.532,-1.288,0.798,-0.768","20.842,-16.29,-23.842,-1.192,0.818,-0.838","20.174,-23.62,-21.646,-1.026,0.772,-0.858","20.48,-31.572,-18.004,-0.892,0.704,-0.816","20.65,-38.7,-14.56,-0.784,0.674,-0.786","19.12,-39.226,-12.754,-0.714,0.68,-0.782","16.83,-39.226,-12.356,-0.658,0.708,-0.788","15.224,-31.166,-11.438,-0.618,0.726,-0.78","24.46,-19.916,-24.08,-0.764,0.724,-0.718","39.226,-10.902,-29.932,-1.122,0.722,-0.664","39.226,11.15,-38.104,-1.622,0.744,-0.616","39.226,-39.226,-39.206,-2.202,0.818,-0.548","39.226,-39.226,-33.096,-2.68,0.946,-0.41","39.226,-6.828,-24.792,-2.824,0.992,-0.282","39.226,14.762,11.77,-2.506,0.986,-0.212","39.226,-5.242,22.59,-1.96,0.924,-0.21","39.226,-21.776,15.812,-1.38,0.818,-0.242","39.226,-13.65,13.466,-1.0,0.654,-0.258","37.208,-3.35,17.816,-0.868,0.522,-0.266","23.75,10.592,23.036,-0.898,0.516,-0.27","29.648,4.468,23.75,-0.862,0.604,-0.25","38.472,-4.35,18.172,-0.754,0.73,-0.19","37.714,-1.624,18.474,-0.736,0.808,-0.104","29.86,2.954,18.704,-0.814,0.808,-0.004","33.588,4.446,24.374,-0.934,0.74,0.06"
"-8.29,4.354,-2.632,4.136,-7.698,-2.582","-9.172,5.098,-3.644,5.01,-6.168,-2.576","-8.788,5.148,-4.598,3.964,-5.276,-1.732","-8.498,5.478,-5.506,2.046,-5.16,0.018","-8.478,5.898,-5.88,0.062,-5.566,1.126","-8.304,6.19,-6.156,-0.564,-5.908,1.29","-7.578,5.99,-6.582,-0.408,-5.778,1.286","-7.028,5.478,-7.414,0.102,-5.152,1.42","-7.212,5.328,-8.082,0.772,-4.266,1.628","-7.39,5.614,-8.924,1.758,-3.618,1.806","-7.43,6.158,-9.992,2.878,-3.278,1.832","-7.552,6.64,-10.958,3.586,-2.9,1.798","-7.518,7.028,-11.766,4.024,-2.45,1.882","-7.086,7.148,-12.736,4.016,-2.218,1.7","-6.586,6.68,-14.016,3.638,-1.91,1.356","-6.292,6.348,-14.894,3.518,-1.568,1.758","-5.552,6.446,-15.694,3.542,-1.482,2.186","-4.482,6.656,-16.634,3.792,-1.448,2.276","-3.724,6.888,-17.842,3.78,-1.378,2.196","-3.546,7.928,-20.164,3.458,-1.226,1.904","-3.778,8.792,-22.992,3.076,-0.998,1.838","-3.926,8.02,-24.846,2.618,-0.77,1.72","-2.74,7.168,-26.202,2.13,-0.62,1.534","-0.02,6.37,-28.546,1.634,-0.568,1.34","2.83,5.482,-31.176,1.188,-0.498,1.15","6.936,4.812,-32.502,0.976,-0.356,0.976","9.238,4.32,-34.012,0.914,-0.19,0.914","11.18,2.006,-36.236,0.836,-0.066,0.868","10.464,2.954,-35.028,0.582,0.072,0.81","10.334,3.888,-33.544,0.296,0.238,0.61","10.788,1.622,-33.142,0.07,0.222,0.502","15.542,-0.922,-32.436,-0.124,0.224,0.412","21.312,-5.646,-31.886,-0.254,0.204,0.264","29.664,-17.85,-32.786,-0.236,0.24,0.184","34.586,-29.698,-31.59,-0.164,0.328,0.07","34.818,-32.724,-24.236,-0.196,0.426,-0.04","34.306,-33.206,-14.94,-0.232,0.518,-0.082","33.284,-34.28,-12.406,-0.284,0.602,-0.076","29.186,-36.4,-10.34,-0.282,0.704,-0.122","23.362,-32.546,-13.344,-0.172,0.664,-0.304","19.086,-22.602,-16.356,-0.196,0.526,-0.434","20.34,-10.4,-24.548,-0.332,0.486,-0.546","27.282,6.746,-35.04,-0.546,0.54,-0.65","39.226,23.792,-39.206,-0.746,0.644,-0.68","39.226,24.774,-28.822,-0.936,0.722,-0.63","39.226,32.836,-33.498,-1.116,0.76,-0.524","39.226,-29.778,-39.206,-1.218,0.76,-0.458","39.226,-39.226,-27.89,-1.176,0.74,-0.422","39.226,11.028,-27.93,-1.068,0.712,-0.378","39.226,30.722,-35.272,-1.036,0.702,-0.314","39.226,4.642,-5.516,-1.15,0.768,-0.206","39.226,20.98,3.702,-1.348,0.878,-0.072","39.226,16.926,16.238,-1.564,1.002,0.06","39.226,17.444,26.672,-1.776,1.096,0.216","39.226,-0.476,19.466,-1.9,1.17,0.354","39.226,-22.178,8.76,-1.978,1.204,0.468","39.226,-32.114,5.608,-1.998,1.204,0.556","39.226,-30.838,7.744,-1.952,1.182,0.608","39.226,-21.628,15.082,-1.844,1.17,0.652","39.226,-6.472,23.04,-1.668,1.146,0.698"
"-5.0,2.516,-6.052,-0.806,-5.412,2.11","-5.218,2.454,-6.516,0.758,-5.126,2.258","-5.444,2.552,-6.94,2.292,-4.832,1.592","-5.366,3.0,-7.8,2.372,-4.176,1.438","-4.972,2.94,-8.606,1.622,-3.648,1.522","-4.682,1.69,-9.304,0.676,-3.252,1.838","-5.032,0.544,-11.014,-0.066,-2.75,2.252","-5.928,0.668,-12.63,-0.72,-2.204,2.468","-6.506,1.37,-13.254,-1.202,-1.986,2.378","-6.656,1.798,-13.542,-1.228,-1.934,1.964","-6.242,1.92,-13.736,-0.948,-1.918,1.67","-5.64,1.62,-14.312,-0.248,-1.8,1.724","-4.996,1.156,-15.188,0.536,-1.71,2.094","-4.44,0.832,-16.378,1.018,-1.572,2.368","-4.216,0.774,-17.328,1.112,-1.448,2.482","-4.098,0.77,-18.19,1.04,-1.336,2.468","-3.64,1.248,-19.708,0.818,-1.18,2.248","-2.89,2.03,-20.908,0.426,-1.0,2.072","-2.062,1.728,-21.766,-0.002,-0.83,2.024","-1.41,1.318,-23.582,-0.246,-0.722,2.054","-0.726,2.342,-26.262,-0.218,-0.546,2.106","1.282,3.738,-29.482,-0.07,-0.364,2.002","4.676,5.036,-30.96,-0.014,-0.296,1.964","7.21,4.482,-33.28,-0.122,-0.208,1.848","9.228,0.656,-37.614,-0.286,-0.124,1.752","7.484,-1.336,-37.92,-0.33,0.056,1.72","1.634,-5.862,-36.08,-0.414,0.254,1.626","3.984,-14.386,-34.614,-0.394,0.402,1.314","9.954,-21.78,-33.31,-0.248,0.442,0.92","19.548,-25.048,-25.628,-0.018,0.414,0.738","28.544,-28.314,-16.642,0.12,0.454,0.756","24.662,-33.034,-13.456,0.222,0.64,0.836","20.016,-32.8,-11.008,0.174,0.86,0.958","18.494,-24.874,-5.858,0.058,1.03,1.008","15.146,-11.626,-2.37,-0.078,1.078,0.978","13.618,1.748,-4.716,-0.254,1.108,0.78","16.246,15.554,-10.04,-0.45,1.136,0.66","23.566,29.584,-21.31,-0.576,1.388,0.638","28.432,35.51,-36.828,-0.412,1.538,0.708","37.896,-5.676,9.396,-0.296,1.742,0.802","39.226,0.5,-16.32,-0.302,1.886,0.78","39.226,23.516,-36.488,-0.468,1.96,0.92","39.226,-18.968,1.89,-0.648,2.214,0.916","39.226,-32.726,21.966,-0.696,2.384,0.98","39.226,-39.226,29.736,-0.692,2.492,1.02","36.522,-31.338,-5.588,-0.762,2.582,0.952","-23.544,12.082,-5.338,-0.828,2.644,0.952","-24.638,36.98,-1.844,-0.802,2.69,1.012","39.226,5.59,-2.49,-0.762,2.736,1.052","39.226,-25.616,-21.796,-0.714,2.746,1.036","37.534,-19.568,-4.78,-0.61,2.704,1.004","35.734,-11.052,17.47,-0.402,2.66,0.968","38.234,-15.77,21.662,-0.134,2.618,0.906","39.226,-13.14,24.608,0.18,2.562,0.83","33.408,-13.962,26.298,0.492,2.446,0.76","33.488,-18.742,22.234,0.696,2.322,0.668","39.134,-22.914,19.774,0.784,2.222,0.516","39.226,-22.648,18.544,0.76,2.144,0.348","34.852,-25.1,18.658,0.676,2.076,0.274","26.03,-21.086,18.268,0.652,2.06,0.24"
"-5.518,4.248,-8.974,-2.676,-7.452,-0.43","-5.83,4.2,-9.586,-2.032,-7.414,-0.886","-6.19,3.68,-9.742,-0.658,-6.804,-0.526","-6.396,3.732,-9.702,0.374,-6.246,-0.176","-6.56,4.46,-9.36,0.982,-6.048,-0.04","-6.548,4.976,-9.288,1.292,-5.616,-0.022","-6.356,4.606,-9.462,1.28,-5.19,0.504","-6.29,4.006,-9.886,0.976,-4.918,1.048","-6.302,3.644,-10.232,0.592,-4.584,1.176","-6.134,3.112,-10.398,0.122,-3.902,0.952","-6.224,1.866,-9.716,0.3,-3.122,0.92","-6.656,0.226,-10.166,1.048,-2.408,1.088","-7.388,0.158,-11.448,1.946,-1.95,1.302","-7.308,1.148,-11.628,2.754,-1.73,1.62","-6.374,1.356,-11.392,3.356,-1.502,1.876","-5.496,1.064,-11.314,3.562,-1.12,2.144","-4.964,1.206,-12.342,3.152,-0.846,2.416","-4.344,1.826,-13.78,2.488,-0.768,2.508","-3.894,2.48,-15.436,2.104,-0.734,2.376","-3.246,1.486,-16.206,1.952,-0.626,2.146","-2.498,-0.512,-18.044,2.026,-0.34,2.348","-1.356,0.062,-20.636,2.034,0.18,2.392","0.604,1.946,-21.48,2.124,0.692,2.29","2.654,2.86,-22.38,2.122,0.982,2.286","4.016,4.042,-24.578,1.886,1.162,2.278","4.224,6.504,-27.978,1.478,1.286,2.24","2.85,9.03,-31.55,1.16,1.486,2.166","0.536,10.622,-35.364,0.936,1.732,1.944","0.41,10.198,-39.146,0.828,1.922,1.672","3.658,7.564,-39.206,0.644,2.054,1.576","9.41,3.07,-39.148,0.364,2.186,1.608","15.298,-2.548,-37.526,0.268,2.254,1.57","18.99,-6.42,-36.114,0.334,2.324,1.494","23.948,-11.972,-35.598,0.432,2.564,1.444","32.094,-20.1,-29.958,0.598,2.866,1.22","38.728,-27.26,-27.614,0.606,3.028,1.016","39.226,-31.306,-24.78,0.51,3.12,0.948","36.848,-30.476,-19.144,0.416,3.174,0.9","35.192,-23.64,-15.774,0.344,3.202,0.884","36.13,-14.264,-19.694,0.24,3.318,0.93","39.12,-7.612,-24.008,0.2,3.422,1.014","39.226,3.59,-31.776,0.068,3.486,1.08","39.226,18.16,-39.206,-0.046,3.542,1.002","39.226,30.806,-39.206,-0.166,3.574,0.882","39.226,36.17,-39.078,-0.396,3.612,0.862","39.226,34.22,-33.418,-0.686,3.666,0.922","39.226,-10.39,12.684,-0.736,3.772,0.994","39.226,-39.226,14.346,-0.618,3.93,0.964","36.218,-9.112,-33.236,-0.426,3.982,0.854","-4.042,26.094,-39.206,-0.026,3.948,0.778","19.19,29.598,-24.302,0.486,4.016,0.67","39.226,9.046,-28.472,0.96,4.104,0.442","39.226,17.416,-10.168,1.316,4.12,0.22","38.97,20.924,17.936,1.45,4.08,0.098","39.226,0.562,23.772,1.394,4.004,0.012","39.226,-14.348,27.22,1.344,3.92,-0.076","39.226,-23.432,25.22,1.292,3.84,-0.148","39.226,-24.546,20.49,1.252,3.836,-0.198","39.226,-24.86,19.338,1.338,3.864,-0.27","39.226,-26.926,20.42,1.372,3.872,-0.354"
