"-8.746,20.24,13.56,-6.074,1.428,1.214","-12.536,-6.012,7.314,-9.164,1.598,0.69","-7.726,-21.146,-1.964,-8.468,0.942,0.898","-1.458,-11.418,-6.116,-5.638,0.104,1.774","-2.684,-4.702,14.734,-4.362,-0.416,2.404","-4.286,7.726,16.416,-4.7,-0.076,2.178","-7.526,10.022,17.232,-5.634,1.068,1.672","-12.202,2.274,15.398,-6.216,1.324,1.436","-14.108,-2.552,11.868,-6.37,1.13,1.284","-13.906,-2.626,12.586,-6.86,1.478,1.034","-12.72,2.054,13.382,-7.702,2.18,0.674","-11.316,4.356,15.468,-8.392,2.708,0.372","-12.312,0.626,11.568,-8.914,2.998,0.152","-13.726,-4.85,5.71,-9.176,3.274,0.058","-13.706,-7.2,4.526,-9.142,3.594,0.034","-14.722,-8.082,4.816,-9.208,3.788,-0.16","-17.012,-9.67,2.108,-9.13,3.96,-0.614","-19.53,-11.656,0.574,-8.8,4.166,-1.398","-21.288,-13.238,0.99,-8.666,4.08,-2.62","-22.68,-13.982,0.968,-8.288,4.078,-4.45","-23.404,-15.724,0.998,-6.902,4.786,-7.086","-22.104,-18.134,1.794,-3.58,6.35,-10.018","-19.724,-21.706,2.726,3.026,7.176,-11.772","-16.784,-28.32,3.06,9.02,5.816,-11.33","-12.556,-35.078,4.418,11.106,2.602,-9.49","-8.486,-39.226,5.18,12.914,0.974,-8.23","-8.806,-39.226,5.036,17.258,0.356,-8.308","-19.98,-38.932,-0.94,18.17,-1.154,-6.908","-36.902,-26.412,-10.812,14.39,-3.728,-5.324","-39.078,2.47,-9.438,1.828,-4.002,-5.924","-38.914,31.006,-3.678,0.25,-1.152,-5.902","-38.444,38.754,5.034,9.016,-1.93,-6.372","-27.792,34.428,11.414,10.91,-3.2,-4.488","-14.958,21.17,-10.688,9.318,2.222,-1.872","-13.222,8.77,-8.328,5.508,0.466,-0.18","-10.562,3.074,5.894,-2.654,-1.112,-1.058","-16.746,-21.328,-25.108,-4.986,-0.354,-2.332","-6.06,-39.226,-37.486,-4.816,-0.906,-0.454","-0.616,-14.04,-9.81,-3.272,-0.296,1.0","-9.594,22.424,-15.926,-2.254,0.79,0.836","-20.386,30.938,-0.9,-2.56,1.33,0.788","-17.734,22.556,1.238,-2.856,1.306,0.788","-5.53,3.82,-7.328,-2.48,1.042,0.694","-0.276,-0.162,-5.456,-1.91,1.136,0.814","-0.362,4.168,-3.292,-1.19,1.506,0.974","-1.366,6.176,-3.402,-0.398,1.806,1.096","-3.044,5.824,-3.216,0.236,1.88,1.15","-3.716,3.778,-5.068,0.838,1.768,1.154","-1.894,1.504,-4.358,1.29,1.618,1.072","-0.592,0.7,-3.052,1.754,1.632,0.962"
"-9.93,22.77,16.438,-0.512,-1.11,2.922","-12.148,26.044,15.814,-3.448,0.132,1.44","-16.882,-2.702,1.138,-8.002,1.092,0.768","-8.814,-29.03,-10.036,-9.6,0.768,0.164","1.89,-27.292,-5.158,-8.112,-0.044,0.728","-2.71,-11.69,9.634,-5.632,-0.678,1.882","-5.314,3.342,14.734,-4.866,-0.896,2.004","-5.054,11.794,16.778,-5.694,-0.594,1.64","-10.714,6.686,15.534,-6.082,0.134,1.168","-14.116,-2.52,11.152,-6.6,0.282,0.626","-14.346,-5.566,9.634,-6.398,0.072,0.562","-14.572,-2.904,7.98,-5.902,0.186,0.44","-14.424,0.638,11.332,-5.748,0.506,0.166","-14.03,2.676,10.002,-6.086,0.958,0.088","-15.178,-2.892,6.478,-6.806,1.42,0.014","-14.284,-8.49,2.59,-7.576,1.768,0.066","-13.22,-10.89,1.706,-7.994,2.122,0.108","-13.09,-11.072,1.39,-8.024,2.192,0.126","-13.166,-9.622,1.064,-7.596,2.048,0.13","-14.66,-8.296,1.296,-7.212,1.742,-0.214","-16.282,-7.874,1.26,-7.516,1.708,-0.964","-17.742,-8.268,1.792,-7.436,1.834,-2.11","-19.434,-9.848,1.824,-6.53,1.916,-4.172","-20.012,-12.968,0.94,-4.694,3.644,-7.334","-18.266,-17.52,-1.706,-0.058,6.854,-10.706","-14.11,-22.38,0.786,5.58,8.062,-11.95","-8.238,-29.152,4.132,8.952,4.376,-10.566","-2.682,-38.12,1.358,11.722,-0.236,-7.448","4.214,-39.226,3.598,14.526,-2.964,-5.282","2.496,-39.226,4.602,18.536,-1.6,-6.734","-17.104,-36.02,-2.174,19.902,-1.788,-6.14","-37.11,-17.578,-3.19,13.512,-3.26,-5.554","-39.078,13.138,-7.688,1.398,-6.254,-4.2","-38.848,33.54,-1.412,9.628,1.724,-3.544","-32.78,38.754,21.478,7.0,0.56,-5.926","-11.77,29.904,13.402,4.784,-1.4,-1.978","-6.146,6.608,-11.166,8.774,0.622,1.392","-7.398,-16.056,-8.274,3.738,-4.508,0.484","-0.444,-2.168,-33.228,-1.878,-3.434,-0.568","-13.538,-16.582,-12.924,-4.116,-1.202,-0.394","-6.792,-37.872,-24.002,-4.464,-0.574,0.864","-7.792,-4.916,-20.264,-2.882,0.142,1.366","-21.822,20.464,-9.924,-2.592,0.518,0.91","-17.046,24.418,2.77,-2.832,0.48,0.744","-3.568,13.136,1.302,-3.218,0.672,0.612","0.884,0.22,-0.294,-3.26,0.976,0.59","-0.434,-1.632,-4.866,-2.79,1.374,0.816","-2.952,-0.146,-1.618,-1.978,1.662,1.03","-3.276,2.47,-3.212,-1.088,1.678,1.23","-2.824,3.592,-2.288,-0.448,1.544,1.356"
"0.166,-24.17,-3.846,-8.538,0.702,1.002","-5.978,-8.83,0.174,-7.454,0.212,1.572","-7.646,4.606,12.002,-5.63,-0.326,2.388","-3.866,10.952,12.482,-4.85,-0.76,2.256","-5.104,12.438,14.562,-4.908,-0.672,2.066","-8.016,7.136,11.814,-5.114,-0.21,2.014","-7.938,0.124,9.642,-5.646,0.184,1.62","-8.502,-2.242,9.632,-5.948,0.448,1.142","-9.576,-2.842,8.794,-5.834,0.822,0.878","-8.682,-1.246,11.036,-6.08,1.058,0.846","-7.442,0.69,11.888,-6.982,1.15,0.664","-8.39,-0.444,10.47,-7.916,1.424,0.42","-9.99,-3.136,8.406,-8.686,1.826,0.3","-10.804,-4.682,6.294,-9.344,2.072,0.218","-11.608,-5.672,4.088,-9.756,2.254,0.164","-13.746,-6.086,3.472,-9.872,2.436,0.088","-15.682,-5.916,3.436,-9.646,2.522,-0.036","-16.74,-6.842,3.04,-9.084,2.374,-0.2","-17.484,-9.45,1.732,-8.576,1.966,-0.578","-18.332,-11.784,0.964,-8.464,1.438,-1.248","-19.86,-13.252,1.398,-8.878,0.912,-2.274","-21.64,-14.922,1.63,-8.85,1.036,-4.56","-22.022,-17.436,0.186,-7.706,3.25,-6.54","-20.802,-20.46,-0.672,-3.68,7.492,-9.556","-18.188,-24.418,0.236,2.38,10.242,-12.556","-13.326,-29.55,1.594,5.688,8.674,-12.064","-7.22,-35.204,1.914,7.808,4.9,-9.36","1.928,-39.226,1.84,10.148,0.972,-5.978","4.284,-39.226,-0.164,14.116,-1.184,-6.582","-11.25,-39.226,-4.746,18.264,-2.064,-7.262","-30.786,-31.094,-3.632,20.988,-0.36,-6.248","-39.078,-4.388,-4.476,15.672,-3.168,-4.066","-39.078,19.386,-0.184,3.99,-3.524,-3.306","-38.88,31.552,24.166,12.272,4.058,-3.902","-33.054,25.972,36.206,5.022,0.024,-4.646","-11.872,5.836,18.712,-0.22,-3.096,-2.504","-2.42,-21.542,-22.106,1.724,-2.734,-0.718","-6.99,-26.042,-26.426,-0.902,-5.24,-0.756","-7.812,7.576,-37.954,-2.834,-3.19,0.506","-17.696,3.24,-26.036,-2.894,-1.534,1.3","-19.65,-8.144,-18.074,-4.048,-0.174,1.296","-15.202,5.866,-14.762,-3.798,0.092,1.434","-12.462,8.244,-18.844,-3.052,-0.578,1.69","-3.116,11.064,-2.766,-2.398,-1.064,1.678","-0.118,14.38,-1.382,-2.252,-0.846,1.49","-2.338,11.624,1.598,-2.084,-0.358,1.51","-3.912,7.582,-1.756,-1.844,0.442,1.66","-4.726,5.108,-4.654,-1.228,1.3,1.762","-4.246,5.712,-4.372,-0.648,1.704,1.762","-2.076,5.384,-1.946,-0.22,1.654,1.754"
"-8.078,3.018,4.91,-8.116,0.446,1.668","-7.966,6.82,9.01,-5.058,-0.034,2.178","-5.704,13.7,12.716,-4.792,-0.252,1.934","-6.01,8.476,17.352,-5.844,-0.092,1.968","-6.082,-5.302,8.576,-6.828,0.602,1.806","-7.464,-10.69,9.676,-8.232,1.428,1.042","-12.1,-8.616,10.548,-8.876,2.174,0.73","-13.43,-4.54,9.93,-8.608,2.664,0.932","-12.942,0.54,11.362,-8.37,2.696,1.126","-12.748,4.774,9.31,-8.588,2.734,1.078","-13.418,2.186,7.294,-9.434,2.874,0.742","-13.112,-3.886,4.6,-10.122,2.98,0.356","-13.746,-8.462,0.644,-10.146,2.81,-0.002","-16.57,-10.482,-2.326,-9.8,2.314,-0.35","-19.596,-9.498,-3.706,-9.198,1.868,-0.792","-21.676,-9.51,-3.818,-8.938,1.344,-1.568","-22.652,-11.914,-4.228,-9.59,0.866,-3.482","-22.228,-16.424,-5.26,-8.794,2.216,-4.536","-20.36,-21.718,-5.516,-6.38,6.936,-5.428","-17.398,-26.058,-4.726,-3.988,10.788,-9.668","-13.4,-30.554,-3.82,2.748,13.078,-13.564","-8.334,-33.538,-2.532,8.238,12.506,-12.008","0.654,-38.832,-1.846,9.074,10.638,-5.14","9.036,-39.226,-4.254,15.838,2.324,-4.634","1.608,-39.226,-1.092,20.66,-3.32,-5.922","-17.49,-38.278,-5.154,20.698,-1.758,-4.25","-32.96,-25.404,-10.228,19.094,-1.952,-4.002","-37.958,-2.898,4.714,4.806,-4.628,-4.37","-38.958,26.492,-2.018,11.252,-0.236,-3.908","-39.042,37.092,11.766,13.732,0.422,-3.77","-25.278,24.24,14.264,10.37,-0.938,1.018","-10.41,16.458,-12.134,9.806,1.862,1.594","-12.986,-1.664,-7.852,4.49,-3.006,2.968","-1.918,0.484,-32.16,-3.994,-3.826,0.516","-8.436,-9.686,-14.85,-8.084,1.212,-3.286","0.736,-38.66,-28.572,-9.45,0.166,-1.03","-10.24,-7.762,-10.082,-7.68,-0.796,1.458","-11.21,22.714,-24.072,-5.232,0.134,1.474","-15.656,37.758,-12.008,-3.334,0.954,1.652","-13.35,27.002,9.884,-3.23,0.766,1.672","0.592,2.662,-10.482,-3.522,0.282,0.988","1.64,-6.33,-13.014,-3.44,0.422,0.656","-3.316,-3.6,-1.954,-3.038,0.502,0.924","-3.378,1.406,-0.176,-1.946,0.942,1.268","-4.172,3.872,-3.676,-0.948,1.706,1.422","-6.148,3.828,-7.212,-0.24,2.148,1.466","-4.866,0.584,-5.138,0.528,2.128,1.48","-1.938,-3.698,-3.314,1.0,1.808,1.464","-0.35,-5.146,-2.436,1.356,1.416,1.516","-0.604,-5.358,-0.45,1.83,1.296,1.564"
"-14.288,-6.374,0.286,-7.946,-0.326,0.606","-11.302,-27.08,-1.188,-11.018,0.016,0.288","0.638,-16.53,3.254,-9.63,0.478,0.41","-4.102,1.412,11.89,-6.768,-0.16,1.038","-6.738,9.19,9.466,-4.516,-0.386,2.128","-4.984,10.558,8.96,-4.016,0.184,2.702","-6.616,9.248,12.236,-4.67,0.876,2.068","-8.65,3.136,11.47,-6.378,1.094,1.064","-10.714,-7.75,10.42,-7.824,1.27,0.588","-9.742,-11.836,7.05,-8.158,1.784,0.574","-7.376,-3.75,8.692,-8.126,2.422,0.548","-8.926,4.142,8.812,-8.382,2.884,0.46","-10.29,4.212,5.204,-8.842,3.136,0.532","-10.108,-0.224,2.236,-9.202,3.266,0.514","-9.686,-4.752,0.098,-9.364,3.004,0.38","-10.32,-7.972,-1.684,-8.978,2.562,0.436","-12.252,-9.49,-2.76,-8.444,2.2,0.496","-14.74,-8.976,-3.75,-8.13,1.74,0.344","-18.016,-7.816,-4.878,-7.566,1.622,0.0","-21.47,-8.802,-5.972,-7.144,1.22,-0.808","-23.472,-11.446,-6.784,-7.68,-0.2,-2.122","-23.558,-14.538,-7.414,-9.202,-0.088,-2.664","-21.608,-17.796,-8.006,-8.924,4.238,-3.472","-17.98,-20.196,-7.846,-3.964,9.31,-7.838","-14.068,-23.694,-9.24,1.926,11.744,-12.036","-9.784,-30.032,-10.456,7.302,14.25,-10.964","-1.442,-38.11,-8.456,10.92,10.762,-5.538","8.624,-39.226,1.67,13.204,1.978,-2.614","6.706,-39.226,-0.046,17.838,-1.35,-5.116","-8.734,-39.226,-4.476,20.078,-1.136,-6.378","-22.81,-28.766,-6.516,20.668,0.836,-4.906","-37.574,-10.282,-8.244,14.774,-4.438,-5.084","-39.078,13.508,-2.718,4.006,-5.88,-4.26","-38.896,38.298,21.124,17.438,2.822,-1.556","-34.176,34.906,27.502,9.29,3.016,-2.066","-12.268,14.424,3.336,3.004,0.158,-0.35","-9.716,-14.062,-28.714,1.902,-0.526,-0.136","-10.25,-34.79,-17.336,-2.634,-4.016,-0.802","4.042,-8.108,-35.498,-4.506,-3.644,-0.236","-6.568,3.654,-8.158,-6.114,-1.794,0.242","-11.716,-1.352,-18.738,-6.262,-0.64,1.068","-21.384,14.58,-9.446,-5.244,0.134,1.388","-21.956,13.602,-14.506,-5.088,0.976,1.242","-9.596,11.048,-10.37,-4.01,1.278,1.2","-3.372,8.674,-0.67,-3.338,0.886,0.994","-0.744,4.778,-1.994,-2.474,0.32,0.954","-1.164,2.568,-7.364,-1.81,0.5,1.064","-2.9,1.158,-2.54,-1.316,1.002,1.274","-3.714,1.31,-5.486,-0.8,1.626,1.388","-5.388,-0.778,-5.96,-0.444,2.168,1.346"
"-8.644,5.232,12.494,-6.326,1.342,0.446","-8.486,-0.204,6.518,-6.976,1.314,0.136","-10.568,-4.186,3.014,-7.506,1.376,-0.04","-12.682,-4.806,3.478,-7.912,1.64,-0.15","-12.824,-3.866,3.178,-8.16,1.992,-0.234","-13.076,-4.062,1.668,-8.208,2.278,-0.22","-13.634,-4.87,-0.082,-8.094,2.504,-0.098","-14.098,-5.346,-0.634,-8.084,2.53,-0.038","-14.596,-5.63,-0.59,-8.23,2.53,-0.008","-15.14,-5.838,-0.866,-8.368,2.748,0.04","-15.598,-5.994,-1.732,-8.43,2.912,0.116","-15.644,-5.796,-3.34,-8.202,2.792,0.21","-15.822,-5.058,-4.894,-7.736,2.474,0.228","-16.422,-4.42,-5.03,-7.166,2.382,0.088","-17.042,-4.32,-4.426,-6.708,2.242,-0.506","-17.956,-5.494,-4.228,-6.176,1.24,-1.386","-19.374,-7.592,-4.496,-6.466,-0.124,-2.652","-21.2,-10.822,-3.528,-9.098,0.176,-3.716","-20.266,-14.12,-3.36,-7.208,8.474,-5.36","-17.132,-17.638,-4.606,-0.616,12.702,-11.862","-12.948,-22.366,-8.234,6.804,14.396,-14.002","-6.526,-28.614,-12.66,10.942,14.702,-7.936","0.988,-39.052,-12.176,12.51,5.066,-0.234","17.942,-39.226,1.532,20.11,-4.352,1.622","5.576,-39.226,-0.742,23.954,-2.16,-8.212","-20.928,-35.758,-13.55,22.332,3.296,-10.184","-37.204,-16.24,-12.922,14.166,3.238,-6.092","-39.078,8.784,-19.38,7.268,-6.268,-1.218","-38.928,36.782,-10.346,18.726,-1.866,-2.084","-38.888,38.754,33.76,15.698,-0.312,-2.466","-17.618,36.16,18.858,11.302,1.376,1.992","-1.606,6.11,-4.81,8.382,1.756,1.416","-0.972,-22.136,-29.428,-2.142,-2.752,-1.89","-3.0,-11.218,-35.408,-7.11,-2.448,-2.14","-4.646,-30.398,-14.086,-8.558,-0.838,-1.162","2.254,-24.092,-10.956,-9.406,-0.254,0.226","-14.438,23.806,-7.412,-8.446,0.562,0.812","-24.594,32.004,-9.352,-7.844,1.536,0.846","-12.06,17.514,-6.37,-6.316,2.16,1.094","-1.992,6.96,-5.778,-5.332,2.028,1.034","0.836,2.08,-7.746,-4.422,1.36,0.988","-0.198,2.07,-7.17,-2.858,0.846,1.218","-1.898,0.846,-0.816,-1.624,0.792,1.434","-2.104,0.99,-3.536,-0.97,1.062,1.512","-4.004,0.7,-3.992,-0.562,1.554,1.492","-5.776,-0.81,-3.318,-0.32,2.224,1.414","-5.886,-2.266,-3.716,0.142,2.756,1.328","-4.818,-3.194,-2.344,0.872,2.544,1.318","-3.622,-2.936,-1.744,1.632,2.138,1.494","-2.896,-2.268,-1.908,2.16,2.024,1.676"
"-14.122,6.574,10.716,-4.842,1.19,1.71","-14.734,-5.434,6.92,-5.162,1.272,1.49","-8.764,-7.266,7.12,-5.264,1.0,1.444","-5.004,0.05,11.75,-5.32,0.824,1.334","-4.774,5.62,9.926,-5.552,1.038,1.17","-6.288,4.882,8.21,-5.964,1.364,0.952","-8.084,0.87,4.902,-6.37,1.726,0.8","-10.274,-2.95,1.798,-6.726,2.078,0.708","-11.65,-4.464,0.68,-7.102,2.28,0.626","-11.332,-4.234,0.638,-7.616,2.34,0.502","-10.94,-4.106,0.468,-8.134,2.338,0.402","-11.192,-4.576,0.016,-8.354,2.316,0.466","-11.718,-4.594,-1.454,-8.382,2.332,0.718","-12.664,-4.022,-2.996,-7.992,2.5,1.152","-14.06,-3.75,-3.902,-7.614,2.718,1.676","-15.2,-4.038,-4.658,-7.386,2.954,2.02","-16.068,-4.77,-5.534,-7.336,2.96,1.988","-17.412,-6.6,-4.44,-7.516,2.744,1.686","-18.31,-7.804,-4.718,-7.858,2.748,1.048","-19.084,-7.916,-4.338,-8.242,2.746,-0.202","-20.484,-7.414,-2.936,-9.04,0.854,-1.29","-22.668,-7.738,-2.91,-11.394,-0.902,-1.65","-22.702,-10.832,-5.344,-9.598,5.802,-3.498","-20.308,-16.16,-6.24,-2.708,11.902,-9.12","-15.854,-22.888,-7.96,3.376,9.674,-12.74","-9.95,-33.404,-15.948,6.194,9.39,-9.044","-1.972,-39.226,-17.036,9.874,10.214,-7.934","7.89,-39.226,-5.534,15.542,9.326,-9.73","9.816,-39.226,-0.296,17.34,6.112,-8.714","-26.984,-39.226,-11.726,21.56,2.046,-8.23","-39.078,-24.858,-14.578,25.18,5.446,-9.072","-39.078,14.572,-7.384,14.962,1.466,-7.704","-38.744,38.754,11.108,9.472,-3.17,0.066","-39.078,38.754,39.226,16.676,-1.306,-2.222","-39.078,37.548,39.226,5.592,-5.494,-1.978","-27.778,22.5,13.166,3.088,-4.082,-0.692","-12.038,-17.766,-36.866,2.184,-1.444,-0.9","-1.234,-20.93,-36.468,-4.192,-1.676,1.412","-17.14,23.508,-21.0,-5.724,-0.32,1.356","-10.298,-7.342,-17.09,-8.812,1.408,0.63","-3.436,-4.228,-8.674,-10.174,1.234,0.808","-5.304,9.3,-3.536,-8.958,0.1,1.408","2.19,-0.942,-14.244,-5.836,-0.8,1.92","-1.804,14.64,-9.466,-3.864,-0.854,1.928","-5.09,21.262,3.23,-2.712,-0.274,1.922","-5.396,11.474,-7.012,-2.63,0.622,1.948","-7.94,-1.622,-8.414,-2.846,1.788,1.95","-8.84,-6.354,-9.044,-2.546,2.322,1.926","-6.866,-3.912,-2.366,-1.438,1.994,1.862","-2.674,1.534,-0.172,-0.4,1.518,1.848"
"-15.074,-22.034,-2.738,-9.224,-0.026,-0.232","-5.596,-13.642,-0.214,-7.976,-1.028,-0.422","-4.556,2.484,9.242,-6.352,-1.424,0.856","-6.372,12.71,11.308,-5.134,-0.302,1.86","-9.198,16.428,8.288,-5.202,0.836,1.25","-16.002,12.48,10.926,-6.016,1.16,0.382","-20.25,-0.634,6.632,-6.674,1.154,0.136","-16.74,-9.308,4.78,-7.076,1.13,0.078","-12.324,-6.362,9.076,-7.366,1.216,-0.148","-10.67,-0.008,7.976,-7.734,1.282,-0.378","-11.292,0.842,5.966,-8.03,1.392,-0.494","-12.238,-1.776,2.612,-8.314,1.6,-0.56","-13.73,-4.78,-0.076,-8.49,1.918,-0.51","-14.784,-6.148,-0.876,-8.594,2.104,-0.378","-14.744,-7.098,-1.72,-8.466,2.044,-0.078","-14.444,-7.738,-2.998,-8.12,1.9,0.444","-14.752,-7.576,-3.652,-7.808,1.78,0.878","-15.196,-6.58,-4.832,-7.48,1.832,0.982","-15.972,-5.772,-6.298,-7.202,2.116,0.576","-17.408,-6.082,-7.052,-6.922,2.298,-0.24","-19.094,-7.472,-6.856,-6.96,1.702,-1.332","-21.126,-8.614,-5.898,-7.786,0.188,-2.526","-22.536,-9.668,-4.346,-9.316,-0.626,-4.71","-22.162,-12.7,-3.276,-6.188,4.082,-7.562","-19.012,-17.726,-5.828,2.098,10.16,-10.576","-15.414,-24.208,-9.836,8.69,10.774,-11.394","-10.976,-33.518,-13.674,11.396,9.404,-7.586","-6.798,-39.226,-15.616,15.862,3.924,-3.538","-2.596,-39.226,-11.258,18.894,2.982,-7.356","-0.366,-39.226,-5.704,17.966,2.338,-10.722","-27.688,-32.394,-13.94,18.198,3.54,-8.28","-39.078,-3.122,-14.812,10.178,2.23,-7.804","-34.882,30.662,-17.898,11.608,-0.158,-2.412","-35.962,38.754,4.816,16.532,-0.662,-3.388","-36.068,37.79,33.488,9.148,-3.068,-3.26","-16.96,19.154,22.632,11.244,-3.25,0.786","-7.874,-18.512,-8.492,5.312,-2.442,0.034","1.792,-19.348,-25.12,-0.34,-1.938,-0.474","-14.086,7.21,-27.092,-5.732,-0.298,-0.648","-19.502,-14.666,-3.122,-7.25,-0.296,-0.272","-5.43,-11.258,-32.012,-6.018,-0.858,0.804","-6.626,14.77,-9.16,-4.1,-0.728,1.294","-3.512,32.224,-12.584,-3.312,0.052,1.23","-4.018,26.368,1.06,-3.18,0.666,1.442","-5.54,8.438,-6.166,-3.48,1.214,1.528","-5.346,-2.988,-9.518,-3.082,1.912,1.442","-4.534,-2.624,-7.282,-2.448,2.098,1.362","-2.504,3.626,-0.64,-1.58,2.138,1.364","0.112,7.926,-1.734,-0.692,2.27,1.39","0.276,7.504,-1.962,0.136,2.412,1.49"
"-15.634,-11.192,-2.284,-9.072,0.994,0.592","-8.136,-20.196,-1.33,-9.95,0.156,0.502","-0.99,-5.086,4.646,-8.38,-1.14,0.928","-1.924,10.936,13.842,-6.546,-1.244,1.836","-3.71,15.924,10.04,-5.658,-0.088,2.278","-6.792,14.072,5.372,-5.882,0.91,2.094","-12.084,5.442,9.006,-6.448,1.284,1.764","-14.782,-3.61,4.374,-6.67,1.472,1.466","-12.752,-6.838,9.854,-6.712,1.542,1.216","-7.568,-2.632,12.056,-6.922,1.398,0.964","-5.47,1.876,10.58,-7.104,1.266,0.788","-6.686,3.872,10.658,-6.926,1.48,0.656","-9.708,2.378,8.614,-7.104,1.552,0.494","-12.138,-1.05,5.174,-7.362,1.518,0.534","-13.206,-3.336,3.294,-7.692,1.624,0.77","-14.194,-5.238,3.542,-8.118,1.988,1.046","-14.6,-6.646,1.814,-8.696,2.36,1.296","-15.414,-7.868,-0.158,-9.18,2.73,1.368","-16.562,-8.238,-1.562,-9.654,3.002,1.058","-17.516,-8.156,-2.426,-9.648,3.14,0.716","-17.696,-7.768,-3.93,-10.034,3.158,0.286","-18.344,-7.458,-4.214,-11.346,2.794,0.086","-20.092,-8.772,-4.02,-12.254,3.254,-1.11","-21.518,-13.336,-4.312,-9.718,5.432,-4.722","-20.182,-19.568,-6.48,-2.63,7.518,-9.222","-16.436,-27.288,-7.524,3.34,7.844,-11.478","-11.024,-37.032,-7.744,5.92,9.174,-9.712","-7.152,-39.226,-7.196,10.424,8.82,-9.184","-10.556,-39.226,-5.486,14.982,5.812,-9.848","-17.158,-39.226,-0.758,18.208,2.34,-9.552","-36.868,-37.4,-2.644,21.582,4.064,-9.686","-39.078,-13.296,-1.964,19.884,4.28,-9.458","-38.824,19.302,3.128,11.684,0.976,-5.906","-38.988,33.954,19.38,15.056,-2.826,-1.412","-38.932,33.794,39.226,11.686,-4.446,-1.578","-29.85,21.542,22.84,10.972,-5.342,1.508","-13.764,-2.476,-9.416,6.854,-2.994,1.736","-16.202,-24.426,-27.098,-0.574,-2.042,0.718","-19.508,-6.476,-37.24,-6.46,-2.072,0.122","-23.156,6.488,-14.906,-7.518,-1.396,-0.146","1.224,-5.426,-27.748,-7.204,-1.22,0.69","-6.85,13.71,-4.884,-6.012,-0.618,1.264","-9.206,32.358,0.888,-6.198,0.476,0.962","-11.672,24.866,-1.342,-7.072,0.924,0.858","-11.546,5.004,-7.114,-6.952,0.904,0.924","-5.156,-4.628,-11.86,-5.846,0.8,0.96","-2.424,1.066,-8.266,-4.264,0.666,1.33","-1.834,7.94,-4.04,-2.69,0.762,1.646","-0.89,8.594,-6.556,-1.672,1.2,1.684","-2.372,5.046,-8.564,-1.042,1.638,1.762"
"-4.894,-10.564,-1.866,-7.784,-1.506,0.99","-3.456,3.308,7.674,-6.26,-1.212,1.242","-4.144,13.214,13.006,-4.88,-0.364,1.862","-6.128,14.308,7.016,-4.626,0.484,2.148","-11.42,7.854,6.554,-5.218,1.13,1.682","-15.37,0.972,7.658,-5.968,1.198,1.078","-13.198,-3.678,8.276,-6.184,1.062,0.836","-8.722,-3.796,8.422,-6.2,1.032,0.658","-7.05,0.158,9.722,-6.376,1.178,0.502","-8.468,4.022,9.074,-6.442,1.526,0.356","-11.626,2.734,7.37,-6.632,1.868,0.126","-13.728,-1.766,4.78,-7.084,1.898,-0.014","-13.808,-5.284,2.182,-7.724,1.592,0.15","-13.538,-7.21,1.89,-8.112,1.524,0.626","-13.662,-7.488,1.194,-8.564,1.644,1.14","-14.926,-7.122,-0.374,-8.894,1.93,1.622","-16.614,-6.57,-3.07,-8.806,2.406,1.828","-18.644,-6.772,-4.844,-8.824,2.68,1.654","-19.814,-6.716,-5.54,-8.7,2.924,1.244","-20.134,-6.97,-5.328,-8.736,3.214,0.512","-21.44,-7.898,-3.456,-10.122,2.592,0.108","-23.382,-9.76,-2.484,-11.978,2.42,-1.13","-23.984,-13.75,-3.772,-10.078,4.37,-4.552","-22.882,-18.75,-4.954,-2.754,7.052,-9.0","-19.648,-24.882,-6.344,3.168,7.296,-11.802","-13.576,-34.77,-9.46,5.728,9.208,-10.236","-9.442,-39.226,-10.028,9.5,9.64,-11.202","-11.744,-39.226,-8.334,16.18,8.46,-11.696","-15.936,-39.226,-4.266,20.17,4.804,-9.94","-36.492,-37.272,-7.91,23.478,3.766,-8.966","-39.078,-11.494,-6.524,24.584,6.402,-9.05","-38.804,23.234,1.814,9.17,0.342,-6.388","-38.702,34.136,13.92,16.564,-2.432,-1.774","-38.94,33.544,32.996,14.008,-2.394,-3.598","-35.418,37.056,31.118,7.776,-6.018,-0.244","-13.268,17.57,-8.396,6.388,-3.394,-1.024","-3.052,-24.384,-35.928,1.218,-3.24,-1.544","-8.96,-4.352,-33.644,-4.13,-3.334,0.062","-26.516,14.442,-9.866,-4.648,-1.476,-0.036","-4.01,-17.134,-23.41,-6.004,-0.704,0.218","-15.232,12.58,-3.62,-6.054,-0.534,0.97","-8.934,22.1,-7.192,-5.796,-0.064,0.988","-1.98,8.516,-8.322,-5.558,0.068,1.248","-5.182,8.822,-3.652,-5.112,0.152,1.572","-2.802,6.644,-3.432,-4.464,0.518,1.646","-2.518,5.972,-2.794,-3.776,0.958,1.66","-3.532,5.77,-2.654,-3.186,1.376,1.604","-1.584,4.878,-4.398,-2.546,1.772,1.628","-1.32,4.902,-2.74,-1.972,2.058,1.654","-0.996,4.006,-1.938,-1.374,2.19,1.65"
