877740416,3.14,1.132,9.2,        877862208,-0.012,0.092,-0.054
877740480,3.556,1.252,9.52,        877862208,-0.082,0.142,-0.054
877740480,3.61,1.196,10.084,        877862272,-0.174,0.184,-0.086
877740480,3.146,1.132,9.726,        877862272,-0.246,0.23,-0.134
877740480,2.868,1.232,9.556,        877862272,-0.262,0.252,-0.15
877740480,2.686,1.39,9.568,        877862272,-0.238,0.242,-0.118
877740480,2.836,1.402,9.536,        877862272,-0.222,0.232,-0.09
877740544,3.294,1.294,9.812,        877862272,-0.222,0.246,-0.106
877740544,3.108,1.348,10.052,        877862336,-0.252,0.268,-0.14
877740544,2.628,1.224,10.096,        877862336,-0.25,0.274,-0.16
877740544,2.254,0.946,10.378,        877862336,-0.218,0.258,-0.17
877740544,2.28,0.746,10.34,        877862336,-0.192,0.242,-0.18
877740544,2.636,0.644,10.482,        877862336,-0.144,0.242,-0.216
877740544,2.858,0.372,10.414,        877862336,-0.1,0.238,-0.246
877740608,2.954,0.49,10.364,        877862336,-0.054,0.232,-0.262
877740608,2.924,1.042,9.436,        877862400,-0.03,0.23,-0.298
877740608,3.584,1.056,9.34,        877862400,-0.046,0.23,-0.312
877740608,3.72,0.938,9.426,        877862400,-0.056,0.236,-0.316
877740608,3.784,0.708,10.042,        877862400,-0.084,0.268,-0.332
877740608,4.61,0.136,11.842,        877862400,-0.174,0.304,-0.332
877731136,-2.31,-0.088,9.006,        877862400,-0.284,0.344,-0.346
877731136,-1.76,0.12,8.936,        877862464,-0.388,0.43,-0.392
877731136,-1.364,0.444,9.044,        877862464,-0.356,0.516,-0.462
877731136,-1.382,0.702,9.106,        877862464,-0.172,0.596,-0.566
877731200,-1.71,0.796,9.132,        877862464,0.018,0.688,-0.666
877731200,-1.952,0.506,9.054,        877862464,0.158,0.772,-0.742
877731200,-2.11,0.076,8.986,        877862464,0.392,0.926,-0.878
877731200,-2.254,0.04,9.11,        877862464,0.482,1.096,-0.968
877731200,-2.408,0.336,9.166,        877862528,0.416,1.102,-0.918
877731200,-2.556,0.39,9.152,        877862528,0.446,1.118,-0.842
877731264,-2.754,0.186,9.076,        877862528,0.38,1.246,-0.824
877731264,-2.99,0.078,8.886,        877862528,0.384,1.406,-0.776
877731264,-3.2,0.118,8.886,        877862528,0.55,1.442,-0.666
877731264,-3.326,0.196,8.9,        877862528,0.604,1.262,-0.452
877731264,-3.288,0.062,8.986,        877862592,0.69,1.062,-0.356
877731264,-3.098,-0.18,8.928,        877862592,0.59,1.102,-0.52
877731264,-3.034,-0.39,8.844,        877862592,0.722,1.084,-0.458
877731328,-3.036,-0.606,8.794,        877862592,1.308,0.956,-0.25
877731328,-3.124,-0.792,8.482,        877862592,1.39,0.822,-0.326
877731328,-3.236,-0.906,8.218,        877862592,1.004,0.798,-0.5
877731328,-3.294,-1.076,8.148,        877862592,0.77,0.768,-0.516
877731328,-3.374,-1.126,7.82,        877862656,0.652,0.674,-0.542
877731328,-3.57,-1.278,7.516,        877862656,0.466,0.548,-0.666
877731392,-3.682,-1.934,6.936,        877862656,0.204,0.454,-0.782
877731392,-3.856,-3.008,6.16,        877862656,0.068,0.488,-0.902
877731392,-3.99,-3.814,5.764,        877862656,0.282,0.516,-0.938
877731392,-3.972,-3.61,4.722,        877862656,0.698,0.444,-0.826
877731392,-3.79,-3.012,4.14,        877862720,0.856,0.41,-0.858
877731392,-3.958,-3.772,5.822,        877862720,0.612,0.432,-1.014
877731392,-4.786,-4.896,7.174,        877862720,0.226,0.452,-0.98
877731456,-5.214,-3.492,6.686,        877862720,0.036,0.474,-0.874
877731456,-4.974,-1.8,6.662,        877862720,-0.022,0.476,-0.858
877731456,-4.618,-1.788,6.85,        877862720,0.118,0.448,-0.844
877731456,-4.934,-3.616,7.336,        877862720,0.364,0.346,-0.786
877731456,-5.68,-5.074,7.836,        877862784,0.476,0.25,-0.76
877731456,-6.222,-2.71,7.612,        877862784,0.444,0.242,-0.822
877731520,-6.046,-1.046,9.112,        877862784,0.314,0.258,-0.844
877731520,-5.256,-2.106,9.252,        877862784,0.256,0.218,-0.796
877731520,-4.73,-1.89,7.994,        877862784,0.222,0.11,-0.734
877731520,-5.31,-0.854,8.936,        877862784,0.11,-0.002,-0.696
877731520,-5.584,-0.152,10.168,        877862848,0.104,-0.128,-0.698
877731520,-4.758,-0.468,10.286,        877862848,0.31,-0.25,-0.644
877731520,-4.206,-1.494,10.428,        877862848,0.478,-0.37,-0.62
877731584,-4.136,-1.75,10.846,        877862848,0.438,-0.452,-0.646
877731584,-3.938,-1.284,11.252,        877862848,0.282,-0.444,-0.71
877731584,-3.444,-1.204,11.592,        877862848,0.154,-0.438,-0.746
877731584,-2.848,-2.45,11.062,        877862912,0.07,-0.414,-0.748
877731584,-2.502,-3.666,10.514,        877862912,0.006,-0.402,-0.758
877731584,-2.846,-2.626,10.68,        877862912,-0.058,-0.428,-0.748
877731648,-3.064,-0.73,11.374,        877862912,-0.284,-0.458,-0.772
877731648,-2.586,0.238,11.964,        877862912,-0.548,-0.452,-0.812
877731648,-2.376,0.566,11.46,        877862912,-0.616,-0.426,-0.794
877731648,-2.658,0.1,11.218,        877862912,-0.526,-0.37,-0.788
